name,price,status,shipping,free_returns,items_sold
EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB GDDR6X GPU 10G-P5-3897-KL,37500,Pre-Owned ·,0,True,
"Nvidia Quadro T1000 8GB Low Profile GPU | 1yr Warranty, Fast Ship!",27997,Excellent - Refurbished ·,0,True,
XFX Radeon RX 550 2GB DD GDDR5 RX-550P2D Video Graphics Card GPU,2500,Pre-Owned ·,1764,False,
"GPU Support Bracket, Graphics Card Support, GPU Brace, Video Card Holder Bracket",1688,Brand New,0,True,13
New ListingNVIDIA GeForce GTX 1060 3GB OEM Blower Graphics Card HDMI DP DVI Tested Working,5999,Pre-Owned ·,0,False,
Nvidia Quadro K420 2GB PCIe x16 GDDR3 Video Card GPU 0PKJT 818244-001,1188,Pre-Owned ·,0,False,
NVIDIA Tesla V100 SXM2 32GB GPU Accelerator V100-SXM2-32GB,55900,Pre-Owned ·,,True,62
NVIDIA 699-2G503-0280-200 V100 PG503 32GB SXM2 TESLA GPU - V100-SXM2-32GB-LS,52900,Pre-Owned ·,,True,
New Listing102D0513300 AMD INSTINCT MI25 16G GPU (HBM2 PCIE 3.0),7700,Pre-Owned ·,,True,
"Sapphire GPro X080 10GB Mining GPU | 1yr Warranty, Fast Ship!",13997,Excellent - Refurbished,0,True,46
NVIDIA Tesla P4 8GB GDDR5 PCIe GPU Graphics Accelerator,11900,Pre-Owned ·,,True,
Set Of 5 Graphics Cards Gpu Mining Gaming High Performance (Brand) (Model,21430,Pre-Owned,0,True,
New ListingAsus Nvidia GeForce GT 1030 2GB GDDR5 Graphics Video Card GPU GT1030-2G-CSM Lot2,12000,Pre-Owned ·,0,False,
RX 580 8GB GDDR5 256 Bit GPU PCIE 3.0 Dual Fan Cooling Gaming Video Card Black,10012,Open Box,,True,
New ATI/AMD Radeon 9600XT 128MB AGP Graphics Card GPU In Box All Cables Win 98,14900,Open Box ·,0,False,
AMD Radeon MS-V346 R7 450 GPU 4GB DDR5 Low Profile Graphics Card E32-0405370-C24,3400,Pre-Owned ·,0,False,
"ASUS ROG Strix GeForce RTX® 4090 OC Edition Gaming Graphics Card (PCIe 4.0, 24GB",38000,Brand New ·,0,False,
PNY VCNT1000-PB Nvidia T1000 4x Mini DP 4GB GDDR6 PCIe 3.0 x16 Graphics Card GPU,16250,Pre-Owned ·,994,False,
EVGA NVIDIA GeForce GTX 1070 SC ACX 3.0Graphic Card GPU 08G-P4-6173-KR 8GB GDDR5,9000,Pre-Owned ·,0,False,
"MSI Radeon RX 580 8GB Reference Blower GPU | 1yr Warranty, Fast Ship!",10997,Excellent - Refurbished ·,0,True,
"195mm/7.67"" Graphics Card GPU Brace GPU Stand Video Card Sag Holder",1279,Brand New,0,True,
