name,price,status,shipping,free_returns,items_sold
Sigmatek S-DIAS Safety Cpu Scp111 20-890-111 Can Usb 24Vdc 1.4A Industry,140142,New – Open box,5715,False,
New ListingIntel Core i5-8400 SR3QT 2.8GHz Desktop CPU Processor,3000,Pre-Owned,1000,False,
Intel Core i9-10980XE SRGSG 3.00GHz 24.75MB 18-Core LGA2066 CPU Processor,33999,Pre-Owned,0,False,203
Intel Core i3-10100 3.60GHz 4-Core LGA1200 Desktop CPU Processor,6498,Pre-Owned,0,True,
Intel Xeon E5-2698v4 SR2JW 2.2GHz 20-Core LGA2011 Server CPU Processor,5400,Pre-Owned,0,True,
Intel Core i5-6500T SR2L8 4-Core LGA 1151 CPU PROCESSOR,2199,Excellent - Refurbished,0,True,212
Intel Core i7-7700 SR338 3.6GHz 4-Core FCLGA1151 CPU PROCESSOR,5199,Excellent - Refurbished,0,True,123
ARCTIC Liquid Freezer III Pro 360 black PC Water Cooler Cooling CPU B-Stock,5309,Brand New,883,False,366
Intel CM8065802483301 SR2AG Core i7-5775C Processor 6M Cache NEW TRAY,9900,Brand New,1200,False,179
Intel Core i5-3470T 2.90GHz 2-Core CPU Processor SR0RJ LGA1155 - CPU2A,1495,Pre-Owned,0,True,
New OMRON CPU Unit Programmable Controller CS1G-CPU44H CS1GCPU44H,55083,Brand New,0,True,
MITSUBISHI A3H-CPU / A3HCPU (NEW IN BOX),183665,New – Open box,1290,False,
1PCS NEW Omron PLC CS1H-CPU65H CS1HCPU65H,95868,Brand New,0,False,
Intel Xeon E3-1275 V2 4-core 8M-77W LGA1155 3.50GHZ CPU processor,2799,Pre-Owned,0,True,31
Intel Core i5-7500T 7th Gen Kaby Lake Quad-Core 2.7 GHz LGA 1151 35W Desktop CPU,1995,Pre-Owned,0,False,
Arctic MX-4 8g Thermal Paste with Spatula High Performance for CPU GPU,828,Brand New,0,True,2239
Intel Core 2 Duo E8600 SLB9L LGA775 3.33GHz Wolfdale Dual Core Processor 65W,2499,Pre-Owned,,False,13
Intel Core i5-7500T 2.7 GHz 8GT/s LGA 1151 Desktop CPU Processor SR337,2199,Pre-Owned,0,True,294
Matched Pair Intel Xeon E5-2650 V2 2.60 GHz 8 Core (SR1A8) Processors,1099,Pre-Owned,,True,18
INTEL SR3B9 XEON GOLD 6130 16C 2.1GHZ,800,Pre-Owned,,True,246
Intel Xeon E-2186G SR3WR 3.80GHz 6-Core CPU LGA1151 12MB *km,6898,Pre-Owned,,True,12
Intel Xeon Platinum 8168 2.70GHz 24-Core 33MB LGA 3647 CPU P/N: SR37J Tested,5899,Pre-Owned,0,True,
Intel Core i5-6500 3.2GHz Max Turbo 3.6GHz SR2L6 LGA1151 6M 8GT/s 4 Core,1995,Pre-Owned,,False,
Intel Xeon Gold 6248 2.5 GHz 20 Cores SRF90 CD8069504194301,6000,Pre-Owned,,True,
